Date,Open,High,Low,Close,Volume
08-Aug-24,"1,781.40","1,802.10","1,767.05","1,778.15","5,39,305"
07-Aug-24,"1,776.75","1,791.95","1,763.00","1,772.50","5,76,702"
06-Aug-24,"1,800.00","1,823.00","1,742.30","1,749.60","11,25,446"
05-Aug-24,"1,810.00","1,854.50","1,760.00","1,768.75","17,59,935"
02-Aug-24,"1,868.95","1,914.80","1,861.15","1,881.40","18,27,128"
01-Aug-24,"1,850.00","1,920.00","1,843.35","1,901.95","1,17,27,943"
31-Jul-24,"1,844.00","1,866.00","1,811.25","1,847.20","99,22,499"
30-Jul-24,"1,845.00","1,876.45","1,824.00","1,832.40","88,99,979"
29-Jul-24,"1,824.85","1,855.00","1,800.10","1,836.25","89,46,891"
26-Jul-24,"1,887.80","1,903.65","1,788.00","1,803.70","28,36,113"
25-Jul-24,"1,710.00","1,849.95","1,701.00","1,820.50","30,02,543"
24-Jul-24,"1,748.00","1,748.00","1,711.30","1,716.00","5,35,197"
23-Jul-24,"1,750.00","1,792.00","1,680.00","1,720.30","21,81,097"
22-Jul-24,"1,723.95","1,735.65","1,700.20","1,715.25","3,09,254"
19-Jul-24,"1,750.00","1,751.90","1,712.60","1,723.30","3,97,349"
18-Jul-24,"1,770.00","1,780.95","1,725.00","1,747.55","7,84,726"
16-Jul-24,"1,757.95","1,820.00","1,750.50","1,759.95","12,31,412"
15-Jul-24,"1,736.00","1,749.80","1,726.00","1,741.10","2,93,609"
12-Jul-24,"1,752.95","1,756.75","1,729.00","1,735.25","3,65,490"
11-Jul-24,"1,756.00","1,763.40","1,740.00","1,747.05","3,51,498"
10-Jul-24,"1,766.70","1,770.60","1,732.15","1,755.65","4,38,959"
09-Jul-24,"1,761.00","1,815.00","1,748.30","1,756.30","6,74,011"
08-Jul-24,"1,759.95","1,765.45","1,729.00","1,756.45","4,90,893"
05-Jul-24,"1,765.20","1,775.00","1,751.25","1,754.30","3,98,933"
04-Jul-24,"1,780.00","1,780.00","1,764.00","1,766.80","3,44,262"
03-Jul-24,"1,775.00","1,786.40","1,762.05","1,775.05","5,49,827"
02-Jul-24,"1,780.15","1,818.80","1,769.10","1,774.15","6,83,054"
01-Jul-24,"1,790.00","1,797.00","1,772.10","1,776.85","2,76,666"
28-Jun-24,"1,809.30","1,815.00","1,777.50","1,788.80","4,85,413"
27-Jun-24,"1,779.90","1,817.95","1,755.05","1,808.45","5,69,485"
26-Jun-24,"1,804.70","1,809.85","1,765.00","1,774.30","4,33,144"
25-Jun-24,"1,812.00","1,819.70","1,786.00","1,797.10","4,41,041"
24-Jun-24,"1,783.80","1,830.00","1,771.00","1,812.35","6,74,744"
21-Jun-24,"1,810.00","1,814.30","1,775.25","1,780.45","7,53,905"
20-Jun-24,"1,807.75","1,816.40","1,785.50","1,806.40","7,24,077"
19-Jun-24,"1,820.00","1,821.65","1,775.00","1,789.65","9,71,693"
18-Jun-24,"1,825.00","1,840.30","1,808.00","1,814.00","6,33,545"
14-Jun-24,"1,799.00","1,825.00","1,787.05","1,806.30","11,54,364"
13-Jun-24,"1,839.15","1,853.85","1,792.05","1,797.55","8,36,369"
12-Jun-24,"1,859.90","1,868.60","1,818.65","1,827.35","5,96,596"
11-Jun-24,"1,898.00","1,898.00","1,840.00","1,855.70","6,66,368"
10-Jun-24,"1,929.00","1,935.00","1,859.80","1,880.35","12,39,388"
07-Jun-24,"1,845.00","1,888.95","1,812.80","1,864.25","16,87,744"
06-Jun-24,"1,875.00","1,919.00","1,845.00","1,865.20","19,09,863"
05-Jun-24,"1,704.00","1,849.30","1,545.15","1,828.85","52,54,218"
04-Jun-24,"2,029.90","2,029.90","1,630.40","1,646.00","82,91,356"
03-Jun-24,"2,125.00","2,174.10","1,950.10","2,038.00","72,36,091"
31-May-24,"1,874.00","1,993.90","1,870.00","1,908.35","44,87,964"
30-May-24,"1,874.00","1,894.30","1,840.10","1,874.90","6,68,450"
29-May-24,"1,872.00","1,908.00","1,865.35","1,879.60","6,26,181"
28-May-24,"1,935.00","1,935.00","1,865.15","1,893.65","18,46,867"
27-May-24,"1,943.70","1,958.80","1,891.00","1,929.50","43,54,846"
24-May-24,"1,898.80","1,949.00","1,889.05","1,926.65","29,28,305"
23-May-24,"1,870.00","1,909.00","1,845.55","1,888.80","38,93,291"
22-May-24,"1,879.00","1,898.00","1,860.00","1,866.45","5,78,311"
21-May-24,"1,825.00","1,919.00","1,810.00","1,859.35","12,74,397"
18-May-24,"1,837.45","1,840.50","1,825.00","1,831.95","69,338"
17-May-24,"1,830.05","1,840.00","1,820.00","1,833.00","32,48,320"
16-May-24,"1,848.40","1,859.80","1,807.00","1,844.40","36,70,374"
15-May-24,"1,790.00","1,845.00","1,782.65","1,839.15","82,81,198"
14-May-24,"1,719.00","1,800.00","1,685.00","1,788.80","36,57,569"
13-May-24,"1,710.10","1,735.00","1,660.00","1,715.15","34,51,084"
10-May-24,"1,730.05","1,758.00","1,700.05","1,714.75","22,52,527"
09-May-24,"1,788.00","1,821.65","1,702.15","1,712.15","4,90,718"
08-May-24,"1,728.00","1,799.00","1,725.30","1,773.00","3,97,007"
07-May-24,"1,759.00","1,790.00","1,711.00","1,726.00","4,56,457"
06-May-24,"1,760.00","1,785.95","1,750.00","1,766.65","5,58,578"
03-May-24,"1,796.00","1,820.00","1,745.25","1,799.80","9,06,386"
02-May-24,"1,798.00","1,805.00","1,759.20","1,786.85","5,17,699"
30-Apr-24,"1,814.00","1,838.80","1,791.00","1,797.65","4,88,769"
29-Apr-24,"1,815.90","1,822.00","1,795.75","1,806.85","2,93,373"
26-Apr-24,"1,820.00","1,823.30","1,797.05","1,806.65","2,88,470"
25-Apr-24,"1,818.00","1,819.65","1,792.35","1,812.65","4,05,971"
24-Apr-24,"1,824.95","1,838.50","1,795.00","1,808.30","2,94,136"
23-Apr-24,"1,809.65","1,840.00","1,799.70","1,816.40","6,31,341"
22-Apr-24,"1,802.00","1,814.60","1,780.00","1,793.75","3,46,708"
19-Apr-24,"1,761.20","1,785.00","1,733.00","1,770.05","6,65,956"
18-Apr-24,"1,829.70","1,849.90","1,761.20","1,775.45","6,75,360"
16-Apr-24,"1,803.00","1,838.10","1,802.20","1,811.65","4,95,006"
15-Apr-24,"1,801.00","1,850.00","1,800.00","1,815.10","9,78,516"
12-Apr-24,"1,907.90","1,925.00","1,880.00","1,884.05","3,93,681"
10-Apr-24,"1,920.05","1,924.15","1,895.00","1,907.50","3,01,534"
09-Apr-24,"1,930.40","1,945.00","1,908.95","1,916.20","2,94,088"
08-Apr-24,"1,948.05","1,974.95","1,904.40","1,919.10","8,93,399"
05-Apr-24,"1,890.85","1,937.75","1,875.00","1,901.95","7,24,439"
04-Apr-24,"1,900.50","1,925.00","1,882.00","1,890.85","7,91,178"
03-Apr-24,"1,893.15","1,904.00","1,877.00","1,878.95","6,11,123"
02-Apr-24,"1,891.00","1,906.00","1,872.05","1,892.65","4,40,580"
01-Apr-24,"1,865.00","1,908.90","1,865.00","1,888.30","5,73,430"
